Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.47642417,88.69978503,86.24525013,83.64284204,84.63556445,70.67285327,68.54815246,69.38129496,70.86788281,68.56354976,77.94822627,78.11059908,76.7998291,78.18477818,76.27990163,77.5648516,83.7861525,82.43332599,86.97270471,85.01010101,74.14848833,70.84196647,71.63224273,,,
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.024793366,8.097166298,9.349593306,16.86391033,18.05555539,21.41280348,18.57142854,14.20982704,15.21035643,14.98422725,11.94410778,16.1407952,18.10584979,14.74359071,14.84536122,14.27230078,14.86956541,14.8231755,13.87205375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.69612383,36.39696694,40.48068365,49.08362764,48.90132193,40.25716983,42.50583889,37.84337371,39.40446113,40.97560558,37.8673794,
Angola,AGO,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.86127827,74.94685096,48.2167467,49.57988943,45.19957883,41.06469436,31.15729583,40.15428452,48.88967943,63.68883933,42.58051724,39.31255941,35.8599672,36.06484639,34.63789626,33.13392129,25.24567072,23.2527214,25.54172205,,
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,23.53660059,22.28995962,24.7376437,21.55859246,20.07535159,19.1144514,16.03112475,16.12964208,19.9184766,21.472733,24.03189957,28.58570134,96.28588075,64.53950296,41.11889039,34.96976538,33.27509854,35.22840345,36.67032949,34.16929512,43.33878845,45.15762843,47.57943101,46.17320729,44.82965389,47.85934313,49.05747689,54.95422835,52.14933097,49.8541026,48.56393189,51.97702937,47.57271357,46.95741088,47.19485665,44.53362939,45.83195991,46.62445057,45.2636668,45.21707662,
Andorra,AND,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,21.71150378,20.50388399,20.85627095,23.72761104,23.91954323,31.03146273,31.03090965,36.63840997,38.05711826,35.14773062,34.20914137,39.26198115,42.49371946,40.28059521,38.64725868,34.38784303,32.1636507,31.16960483,32.60728331,36.10793917,33.71755256,40.02615722,33.63104491,31.67530634,29.19263356,30.30929253,28.76947274,30.81299003,33.12792513,29.96977325,28.05492552,31.45630995,31.99056087,34.25146351,36.06869666,36.32698525,35.71651301,39.56893444,40.74406702,42.25202006,38.13526848,37.09214927,37.58604334,39.76290846,42.23993239,44.94824847,41.79967769,41.60605327,39.26738784,40.3727862,
United Arab Emirates,ARE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7053546,43.56831143,46.37697028,53.05488271,51.96756025,50.84287191,64.41405537,69.64565532,73.8086265,61.63511375,61.58938238,64.0028524,64.72816489,68.9314775,74.35082733,75.74463412,75.40941203,66.68065074,68.47983955,
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.604046979,5.994945316,9.383682891,7.890452033,5.563714075,4.150582972,4.989688034,4.997064147,5.403711423,6.398713317,4.735877405,6.607956034,6.837877358,5.70950079,6.28900906,5.978672496,5.921496328,7.326394155,5.715406434,6.329769174,6.483699779,7.371927999,6.520993021,5.83614942,4.756486117,6.27332705,6.324055248,7.57576407,6.211845636,6.579388793,4.631322407,6.078010811,8.132793114,9.313799914,10.60439714,10.09101283,11.07787165,12.77532874,12.93444601,11.55557045,11.63606955,10.27324737,13.37012736,14.7138051,16.84502668,17.30539424,17.40678527,18.28242031,18.341773,14.49614185,16.03718986,16.75694585,14.28868291,14.71675561,14.00131506,11.78057404,13.56679268,13.98061064,16.41992841,15.10344797,
Armenia,ARM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.33273703,60.12046681,61.25600438,60.75417041,73.10132525,62.18693624,55.98955662,58.27447567,52.83943191,49.80223219,50.07191142,45.718412,46.15239348,49.56836971,44.87989017,42.82654063,38.88415655,38.7856901,40.27659839,42.603335,44.89456066,46.9123854,48.40002152,48.19706929,47.04654614,41.86526887,42.76987508,49.50063827,53.38327421,52.9099483,
American Samoa,ASM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.7548638,108.3491461,110.7421875,122.0675944,127.8225806,119.4230769,133.9253996,82.00589971,93.22916667,97.38675958,99.8447205,100,105.7632399,99.54614221,97.39263804,102.3255814,99.37106918,,
Antigua and Barbuda,ATG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,44.9194443,49.44489924,63.80639299,72.58560054,80.46141775,89.9172262,64.35076164,70.78301958,77.70087597,101.0407729,89.90719023,71.19245877,77.23681319,74.12017255,74.29222861,77.40239282,74.46193389,71.58207379,76.0333569,73.74847369,70.27282757,67.30989797,69.08417701,60.04412275,60.76539269,58.24094026,62.49698949,64.41421566,66.78989745,70.73546534,71.09739211,69.58391494,57.70679027,59.10419508,56.37718207,58.50110499,61.00885918,59.42008369,50.15470745,47.80097092,,,,
Australia,AUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,14.05835544,15.02165489,12.62808242,13.83045199,13.76125171,15.26404422,15.1264991,13.88991231,14.4821202,13.3308873,13.21809449,12.93347224,11.97059617,11.01774981,13.21343244,14.73200483,13.38034938,14.6501655,14.590303,15.35665798,15.90873586,16.7402821,16.82952384,15.62352966,15.00529577,17.30546618,18.08023363,17.09227603,16.64762728,16.98196887,17.0737022,16.19410439,16.41889973,17.89372787,18.52081665,19.88466679,19.39313759,18.90000018,20.47485364,20.79075565,21.59435174,22.13948765,20.78268167,21.20105873,19.91744857,21.00608107,21.71030579,21.84783079,22.70865946,22.79309127,20.83966397,20.47031601,21.72951827,21.25226273,21.46703534,21.50952757,21.52658435,20.57679997,21.38760352,21.55516047,
Austria,AUT,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,27.46863474,27.34511645,27.36535276,27.53745305,30.45336188,28.5044983,31.16375521,32.32363889,30.55289477,32.4364439,35.1319343,35.39588868,32.37561749,31.99398616,33.82398841,35.16184006,32.01688251,31.44751785,33.49162414,35.52315605,35.79095483,35.45791781,34.47489981,31.80115248,33.82855945,34.72346076,35.83439501,37.83960748,38.57612821,38.90310246,42.01422167,42.91910925,41.6287818,41.8169677,43.92513072,45.41405348,47.24664234,48.17238464,48.82482212,41.85481441,47.75763591,51.15411778,51.17850123,50.62512079,50.1169562,49.33825483,48.61759054,50.7355053,52.03440682,52.00309088,
Azerbaijan,AZE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.22237381,41.20508982,54.59637767,76.02802548,30.62820923,53.4070672,55.92110078,53.04435931,54.52827995,41.85584488,38.3777368,37.31657762,50.05030928,65.54537186,72.71810743,52.9007786,38.75825501,28.51289646,23.46675902,23.108296,20.68126693,24.08106448,25.28838935,26.26001169,26.20966854,34.80673042,43.64966934,41.85445095,37.58028267,36.86426464,
Burundi,BDI,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,13.39285783,14.65517299,16.39344216,14.28571441,12.08053731,12.53428946,12.99218038,11.88577655,13.36681223,12.0945743,11.62101972,14.17168014,15.07496967,13.33273113,15.53393773,19.00177059,16.65287675,17.29141892,20.2264008,22.72214152,23.29206503,22.0376957,26.90744599,24.74775974,23.55230979,20.78690239,22.3156305,25.73863173,25.95318325,22.9435654,27.77514726,28.50518278,29.47695089,27.16103576,28.48175853,27.27828356,15.75340125,14.43990665,19.44027986,15.9639877,16.23475389,15.78484345,16.98802523,20.99489805,24.62336989,28.9,35.1,31.99999864,36.69999932,29.20000329,29.80000376,34.20000255,33.99998812,37.50001311,34.15427339,26.80898555,25.09163483,26.9515346,29.80900492,32.72616867,
Belgium,BEL,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,42.77102626,41.81661786,41.0771607,46.1121506,52.37772018,45.60771275,48.26137557,48.17027259,46.55096056,51.65053216,52.93816742,56.15783041,59.82203717,59.99993647,63.81838356,61.42265819,55.04397474,54.0513373,57.01486352,61.37018359,59.85416007,58.36048292,56.26035721,52.90499597,54.80734063,56.2641961,58.0203848,60.90235898,60.53477761,60.60693102,69.68273991,67.96488091,65.25385179,63.67904433,66.0121279,70.24622175,72.76251224,74.16664217,80.20782782,66.57203682,74.1476086,80.79636075,80.34153972,78.52649664,78.98220685,76.38726436,78.2088975,80.99182746,82.79080263,81.56409914,
Benin,BEN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,12.110286,9.534632137,9.959304461,11.62589881,12.24316515,14.90571057,16.19606297,19.77226627,19.07658678,21.42850573,24.46132362,27.83261413,26.80014939,25.95016696,29.49464837,33.41298203,31.0285114,34.7807829,34.54536444,37.02178868,37.32210672,43.95887164,40.08629954,31.5777227,30.93192817,36.64859962,32.61549675,30.95060709,32.08308882,24.80493838,26.53887913,30.34223077,33.50159776,32.9174161,36.07346064,36.43119751,30.01897989,31.53549502,32.50068575,31.38225836,26.74284895,28.38859183,24.04181176,22.97193331,21.38942677,20.61229121,21.716773,27.07093104,25.634639,24.77466222,28.35881188,26.36737731,26.83999991,31.62962651,33.83743382,32.03586197,31.38014027,34.27100218,34.54862973,34.05080512,
Burkina Faso,BFA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,15.83940461,15.7899764,15.70596469,15.6690092,11.51843946,11.37662058,11.64848834,13.92730705,15.28739068,16.53239462,16.14177019,19.9310891,21.28899967,22.91953873,24.47291572,30.15111636,27.00824323,30.44326689,27.75082927,29.28244368,31.26250766,31.43511365,31.62403532,29.57414785,28.75779204,31.02608229,28.97116629,28.08112953,27.13098209,23.64589735,24.45595903,23.34868798,19.52753601,20.67354067,25.02760109,26.60691488,27.61669256,26.60388778,28.13168055,26.90081028,26.27822449,22.61408805,22.44715722,21.14780475,24.5993563,24.33032229,24.14967885,23.43117507,25.23598993,26.50701281,28.55738968,31.30175258,34.64052256,36.95886585,31.89155834,32.98153577,32.00416175,32.67033006,31.89572829,32.4518207,
